Nom du client,Delivery_Method,Unique_Site_Identifier,Code IPACT,No de site,Nomdesite,Adresse,Suffixe,Rue,Ville,Postal code,Prov,In Territory,Access Type,Speed,NPANXX,Tier,Delivery Method,RFP Lot,SupplierName From Real Time,Package,Management Level,IPACT - MR COGS,IPACT - NR COGS,COGS(long),MRC inv. Oct '19,OLD MRC - Don't use,SC1,SC2-GL,SC2-PB,SC3-GL,SC3-PB,SC4,SC5-GL,SC5-PB,SC6-GL,SC6-PB,CMO GM,CMO+50% GM,CMO+50%,MRC for cost,MRC for 15% margin,Off-net Cat
Loto-Québec,On-Net,0000000000042162-0002,4216,2-0002,09752-VALDOR-CE1,434,RTE,111,ST MARC DE FIGUERY,J0Y1J0,QC,Non,DDS,56 Kbps,819732,3,On-Net,Lot1,Independent Settlements,High Performance,NetControl,,,102.08,92,92,138,1023.8,1533.4,717,1081,138,1023.8,1533.4,717,1081,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000046496-0002,4649,6-0002,14063-ARTHBK-CE1,494,RUE,BEAUDOIN,ST LEONARD D'ASTON,J0C1M0,QC,Non,DSL VPN,64 Kbps,819399,3,On-Net,Lot3,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000046458-0002,4645,8-0002,08047-ARTHBK-CE1,85,RUE,PRINCIPALE,ST LEONARD D'ASTON,J0C1M0,QC,Non,DSL VPN,64 Kbps,819399,3,On-Net,Lot3,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000001861917-0002,1861,917-0002,15204-ARTHBK-CE1,507,,MARQUIS,ST CELESTIN,J0C1G0,QC,Non,DSL VPN,64 Kbps,819229,4,On-Net,Lot3,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Hybrid,0000000000045177-0004,4517,7-0004,10772-HULL1-CE1,104,RUE,VICTORIA,SHAWVILLE,J0X2Y0,QC,Non,DSL VPN,64 Kbps,819647,4,Off-Net (ReSale),Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),00000000000532296-0003,5322,96-0003,12736-DAIGUIL2-CE1,1005,BD,Laure,Sept-Îles,G4R4S6,QC,Non,DSL VPN,64 Kbps,418968,3,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,91.78,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003054558-0002,3054,558-0002,16430-VALDOR-CE1,730,,10 AVENUE,SENNETERRE,J0Y2M0,QC,Non,DSL VPN,64 Kbps,819736,4,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000041478-0002,4147,8-0002,11541-VALDOR-CE1,760,AVENUE,10,SENNETERRE,J0Y2M0,QC,Non,DSL VPN,64 Kbps,819737,4,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,0,0,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,00000000000414711-0002,4147,11-0002,08499-VALDOR-CE1,560,Rue,6e,Senneterre,J0Y2M0,QC,Non,DSL VPN,64 Kbps,819737,4,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,0,0,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000041477-0002,4147,7-0002,07385-VALDOR-CE1,641,AVENUE,10E,SENNETERRE,J0Y2MO,QC,Non,DSL VPN,64 Kbps,819737,4,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,0,0,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
